StudyID,Species,Taxon.group,Endo.Ecto,linear.coefs,linear.coefs.se,elevation,abs.Lat,Genus,family,order,class
79,Phasianus colchicus,V,Endo,-0.01,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
11,Calopteryx splendens,I,Ecto,-0.009402,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,-0.009,0.06,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.008,0.03,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.008,0.033,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.008,0.058,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.008,0.03,-2,53.2833,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.007643051,0.5174041,29,42.5667,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.005919388,0.28463277,29,42.5667,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.005,0.032,-2,53.2833,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,-0.004019,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,-0.004,0.029,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.003,0.049,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.003,0.049,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.002,0.043,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.002,0.055,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.002,0.073,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.002,0.033,-2,53.2833,Parus,Paridae,Passeriformes,Ave
75,Salmo salar,V,Ecto,0,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
75,Salmo salar,V,Ecto,0,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
158,Parus major,V,Endo,0,0.036,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0,0.038,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.001,0.036,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.001,0.039,-2,53.2833,Parus,Paridae,Passeriformes,Ave
74,Oncorhynchus nerka,V,Ecto,0.002,0.022,19,59.3217,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
158,Parus major,V,Endo,0.002,0.034,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.002,0.025,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.003,0.042,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.004,0.059,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.004,0.032,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.005,0.038,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.006,0.027,39,52.0833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.006,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.006,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
64,Ficedula albicollis,V,Endo,0.006,0.103,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
158,Parus major,V,Endo,0.007,0.038,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.007,0.066,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.007,0.032,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.008,0.073,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.009,0.05,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.009,0.025,39,52.0833,Parus,Paridae,Passeriformes,Ave
51,Poecilia reticulata,V,Ecto,0.01,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
75,Salmo salar,V,Ecto,0.01,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
75,Salmo salar,V,Ecto,0.01,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
158,Parus major,V,Endo,0.01,0.059,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.01,0.035,39,52.0833,Parus,Paridae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,0.01,0.05,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,0.01,0.08,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
158,Parus major,V,Endo,0.011,0.035,-2,53.2833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.013,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.013,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,0.013,0.041,39,52.0833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.014,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
36,Parus major,V,Endo,0.014,0.033,113,51.7773,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.015,0.036,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.015,0.034,-2,53.2833,Parus,Paridae,Passeriformes,Ave
